# System                       SpT1         SpT2            Pday  Vmag   BmV   logM1   logM1e  logM2   logM2e  logR1   logR1e  logR2   logR2e  logg1   logg1e  logg2   logg2e  logT1   logT1e  logT2   logT2e  logL1   logL1e  logL2   logL2e  MoH     MoHe                                                 
EPIC_203710387                 M4.5V        M5V             2.809 14.30  1.80 -0.9363  0.0116 -0.9763  0.0111 -0.3648  0.0055 -0.3730  0.0057  4.2310  0.0100  4.2070  0.0100  3.4830  0.0110  3.4830  0.0110 -1.8420  0.0470 -1.8610  0.0470 -9.9900 -9.9900
NGTS_J052218.2-250710.4        M5_V         M5_V            1.748 16.88  1.49 -0.7597  0.0032 -0.7590  0.0032 -0.6893  0.0102 -0.6639  0.0096  5.0570  0.0210  5.0070  0.0200  3.4760  0.0140  3.4770  0.0120 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
TOI-450                        M4.5_V       M4.5_V         10.715 15.20  1.50 -0.7525  0.0010 -0.7528  0.0007 -0.4622  0.0076 -0.4609  0.0075  4.6100  0.0150  4.6070  0.0150  3.4920  0.0140  3.4920  0.0140 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
CM_Dra                         M4.5_V       M4.5_V          1.268 12.90  1.60 -0.6478  0.0006 -0.6776  0.0006 -0.6003  0.0003 -0.6243  0.0004  4.9908  0.0008  5.0091  0.0007  3.4960  0.0100  3.4940  0.0140 -2.2580  0.0380 -2.3130  0.0560 -0.3000  0.1200
KOI-126_BC                     M            M               1.722 -1.00 -1.00 -0.6286  0.0011 -0.6834  0.0013 -0.5943  0.0014 -0.6354  0.0013  4.9980  0.0030  5.0260  0.0030  3.5100  0.0050  3.5010  0.0050 -2.1940  0.0200 -2.3120  0.0200  0.1500  0.0800
UScoCTIO_5                     M4.5_V       M4.5_V         34.001 16.19  1.62 -0.4694  0.0026 -0.4864  0.0027 -0.0588  0.0012 -0.0770  0.0012  4.0859  0.0021  4.1053  0.0021  3.5150  0.0130  3.5130  0.0130 -1.1050  0.0530 -1.1460  0.0590 -9.9900 -9.9900
LSPM_J1112+7626                M4_V         none           41.033 14.85  1.49 -0.4038  0.0025 -0.5615  0.0019 -0.4134  0.0061 -0.5261  0.0070  4.8610  0.0120  4.9290  0.0140  3.4860  0.0240  3.4700  0.0230 -1.9200  0.0800 -2.2100  0.0900 -9.9900 -9.9900
PTFEB_132.707+19.810           M3.5_V       M4.3_V          6.016 17.89  1.66 -0.4031  0.0022 -0.6782  0.0029 -0.4401  0.0096 -0.5654  0.0192  4.9150  0.0190  4.8910  0.0390  3.5130  0.0120  3.4940  0.0150 -1.8630  0.0320 -2.3000  0.1300  0.1400  0.0400
NGTS_0002-29                   M            M               1.098 17.64  1.28 -0.4003  0.0036 -0.6488  0.0035 -0.3939  0.0052 -0.5592  0.0087  4.8260  0.0100  4.9080  0.0170  3.5280  0.0050  3.5090  0.0060 -1.7200  0.0200 -2.1200  0.0300  0.0400  0.0400
CU_Cnc                         M3.5_Ve      M3.5_Ve         2.771 11.80  1.56 -0.3607  0.0008 -0.3982  0.0015 -0.3648  0.0052 -0.4080  0.0104  4.8040  0.0110  4.8540  0.0210  3.5000  0.0210  3.4950  0.0210 -1.7780  0.0830 -1.8840  0.0860 -9.9900 -9.9900
HAT-TR-318-007                 M4_V         M5_V            3.343 16.13  1.32 -0.3487  0.0010 -0.5653  0.0067 -0.3422  0.0034 -0.5357  0.0036  4.7740  0.0057  4.9442  0.0039  3.5040  0.0150  3.4910  0.0150 -1.7150  0.0600 -2.1510  0.0620  0.3000  0.1100
